specobjid,ra,dec,programname,survey,objtype,class,subclass,plate,mjd,fiberid,spec_dr,spec_url,ps1_sep,nearest_psid,psid_count,mos_sep,nearest_mos_catalogid
4.2965416102238843e+18,134.30926,1.570219,boss,boss,LRG,GALAXY,,3816,55272,391,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0391.fits,0.26567650686099875,109881343092924822,1,11.576220119431841,27021600107268939
1.7076564724245352e+19,134.31127,1.572727,eFEDS2,bhm-mwm,QSO,GALAXY,STARFORMING,15167,59252,148,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748038013.fits,0.014842851395539149,109881343113187696,1,0.011903215756465885,27021600107268939
1.705630072459312e+19,134.32571,1.5715413,eFEDS1,bhm-mwm,SKY,STAR,B2Iaevar (41117),15149,59231,156,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-07609144272.fits,15.53698812458135,109881343219863822,1,47.610006982811115,27021598102747409
1.7076566373512794e+19,134.34412,1.5672845,eFEDS2,bhm-mwm,QSO,QSO,BROADLINE,15167,59252,154,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-04545187779.fits,0.023392541092785483,109881343441521200,1,0.011542194980990577,27021598102747801
4.296528416084351e+18,134.40261,1.5738417,boss,boss,LRG,GALAXY,,3816,55272,343,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0343.fits,0.013797558614330078,109881344025859100,1,57.02231405560756,27021599488103513
4.2965212692587704e+18,134.49354,1.5670267,boss,boss,LRG,GALAXY,,3816,55272,317,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0317.fits,0.029432535186050806,109881344935380873,1,47.062641553929105,27021600043932927
1.7056318316779164e+19,133.88002,1.579892,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,220,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06747976864.fits,0.019385576944120762,109891338800226377,1,21.186970398644416,27021598102741476
4.296528965840165e+18,134.44176,1.581018,boss,boss,LRG,GALAXY,,3816,55272,345,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0345.fits,0.16418093468600783,109891344417757801,1,68.63248184882215,27021598102747971
1.7056295776790794e+19,134.46955,1.5824031,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,138,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748043000.fits,0.018282519689623696,109891344695729396,1,0.011666537174583375,27021600086968633
5.281663854156452e+17,134.48248,1.5813763,legacy,sdss,QSO,STAR,M0V,469,51913,434,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0434.fits,0.5280457514447369,109891344825137978,1,46.68849776360639,27021600086968633
4.296517970723887e+18,134.62475,1.5774336,boss,boss,LRG,GALAXY,,3816,55272,305,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0305.fits,0.11038259131055622,109891346248013415,1,103.47670962409626,27021600107269884
5.281751815086674e+17,134.74218,1.5773737,legacy,sdss,ROSAT_D,STAR,F5,469,51913,466,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0466.fits,0.1732473282962451,109891347421833302,1,0.17158290716594346,27021598102749513
1.705626746436638e+19,134.77622,1.5813035,eFEDS1,bhm-mwm,QSO,QSO,BROADLINE,15149,59231,35,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748063913.fits,0.18725415217713595,109891347761478022,1,0.006010455151585606,27021600043936289
5.2814109664820634e+17,133.87663,1.5846208,legacy,sdss,GALAXY,GALAXY,,469,51913,342,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0342.fits,0.11232619995359612,109901338766842020,1,0.27359875577389403,27021598102741476
4.296552880218069e+18,134.07615,1.5844754,boss,boss,LRG,GALAXY,,3816,55272,432,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0432.fits,0.052548593043836425,109901340761541739,1,0.05425138784603721,27021600107267802
1.7056301824104747e+19,134.28413,1.5847954,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,160,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748038020.fits,0.013450341524824811,109901342840952162,1,40.16572540214833,27021600043932975
1.7059640215898706e+19,134.45045,1.5899948,eFEDS1,bhm-mwm,QSO,GALAXY,,15152,59208,17,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15152p/59208/spec-15152-59208-06748042950.fits,0.04308538601838956,109901344505058414,1,26.218191631341544,27021598102747971
5.2816748492727296e+17,134.45645,1.5893365,legacy,sdss,ROSAT_D,STAR,M2,469,51913,438,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0438.fits,0.2546007521135906,109901344564867641,1,9.519313890423732,27021598102747971
1.7076608429832557e+19,133.86434,1.5963035,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,307,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06747976915.fits,0.014510677817088095,109911338643995982,1,60.81674915792132,27021598102741476
4.293064409063119e+18,133.87582,1.599136,boss,boss,LRG,GALAXY,,3813,55532,29,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3813/spec-3813-55532-0029.fits,0.06379018479408069,109911338758559398,1,52.06345693102087,27021598102741476
4.293060011016608e+18,133.9758,1.5950673,boss,boss,LRG,GALAXY,,3813,55532,13,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3813/spec-3813-55532-0013.fits,0.10299492362506087,109911339758574516,1,65.77856736720815,27021598102741528
4.2965413353459773e+18,134.19704,1.598618,boss,boss,QSO,STAR,K0V (10780),3816,55272,390,17,https://data.sdss.org/sas/dr17/eboss/spectro/redux/v5_13_2/spectra/full/3816/spec-3816-55272-0390.fits,0.043937976282089786,109911341970548790,1,59.849894348266616,27021598102747295
1.705630154922684e+19,134.24688,1.5978558,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,159,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748037571.fits,0.0036699214080882477,109911342469097875,1,0.011790437167439835,27021600107267848
1.705629165362219e+19,134.26712,1.5950198,eFEDS1,bhm-mwm,QSO,GALAXY,,15149,59231,123,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15149p/59231/spec-15149-59231-06748037866.fits,0.010703100434869503,109911342671444452,1,0.010268014466676297,27021600107269015
1.7076582591309304e+19,134.27195,1.5937441,eFEDS2,bhm-mwm,QSO,GALAXY,,15167,59252,213,18,https://dr18.sdss.org/sas/dr18/spectro/boss/redux/v6_0_4/spectra/full/15167p/59252/spec-15167-59252-06748038057.fits,0.018213873808000682,109911342719612938,1,11.097277961207851,27021598102747406
5.2815429078773965e+17,134.27402,1.5914388,legacy,sdss,GALAXY,GALAXY,,469,51913,390,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0469/spec-0469-51913-0390.fits,0.08207819144414483,109911342741170226,1,0.34910095233719146,27021598102747406
5.270902383931822e+17,134.29615,1.5957032,legacy,sdss,STAR_BHB,STAR,A0,468,51912,615,17,https://data.sdss.org/sas/dr17/sdss/spectro/redux/26/spectra/0468/spec-0468-51912-0615.fits,0.05348259541628042,109911342962195275,1,76.50235286534063,27021600043932975
